parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,x_coord,y_coord
888650901,2024/6/11,55000,1,1,650,2008,19136,1,4,3,2731541.933,268501.8655
888051262,2024/6/7,291250,1,1,850,1980,19106,1,3,4,2697150.942,233931.3661
888080786,2024/4/22,210000,1,1,624,1977,19102,1,4,4,2692933.467,234488.572
888095014,2024/5/16,490000,1,1,1050,2009,19102,1,3,3,2693145.732,235790.884
888095668,2024/5/29,689900,1,1,1052,2009,19103,1,4,3,2691447.977,235449.1698
888050195,2024/5/16,365000,1,1,844,1900,19106,1,2,2,2699235.561,235143.6592
888112314,2024/5/28,205000,1,1,538,1900,19103,1,3,4,2690099.004,236117.8807
81199800,2024/6/6,1400000,1,2,1899,1950,19103,1,4,3,2688841.613,234367.4711
888080477,2024/5/30,243000,1,1,861,1977,19102,1,4,4,2692933.467,234488.572
888089678,2024/5/28,687000,1,1,745,2017,19103,1,1,1,2688578.753,235049.4868
888051671,2024/5/29,332500,1,1,803,1963,19106,1,4,4,2698848.085,233823.6586
888520518,2024/5/28,145000,1,1,940,1970,19131,1,4,4,2682211.042,254532.9187
888080513,2024/5/14,243700,1,1,861,1977,19102,1,4,4,2692933.467,234488.572
888154602,2024/3/15,162000,1,1,891,2011,19130,1,3,3,2693824.762,242408.355
888113512,2024/5/18,215000,1,1,833,1900,19146,1,4,3,2692492.976,230698.1163
888108655,2024/5/20,448888,1,1,782,1900,19103,1,4,3,2689329.743,234499.0165
888088894,2024/6/6,345000,1,1,1004,1900,19102,1,4,3,2692473.707,233805.6432
888020580,2024/6/12,325000,1,1,925,1900,19147,1,4,4,2695216.305,232399.9876
888072668,2024/5/10,155000,1,1,632,1950,19130,1,4,4,2688582.069,241966.4435
888059924,2024/5/31,250000,1,1,761,1900,19107,1,4,3,2694283.755,233587.9481
888050360,2024/6/12,280000,1,1,873,1900,19107,1,3,4,2693452.362,234044.3681
888582301,2024/6/5,188000,1,1,412,1960,19116,1,4,3,2731366.305,300696.4645
888072164,2024/6/3,244000,1,1,864,1900,19107,1,4,4,2693808.92,234186.1031
888073226,2024/5/30,246000,1,1,952,1950,19130,1,4,4,2688582.069,241966.4435
888092604,2024/5/21,400000,1,1,912,1900,19103,1,3,3,2691632.172,234933.6852
888036038,2024/6/13,374900,1,1,800,1900,19103,1,3,4,2689558.134,236364.9983
888112224,2024/6/3,189000,1,1,593,1900,19103,1,3,4,2690099.004,236117.8807
888104096,2024/6/21,300000,1,1,580,1900,19103,1,4,3,2691468.27,233783.7351
888112154,2024/6/18,190000,1,1,538,1900,19103,1,3,4,2690099.004,236117.8807
888052254,2024/5/29,230000,1,1,683,1963,19106,1,4,4,2698810.57,233766.7558
888270082,2024/6/7,308000,1,1,657,1800,19104,1,4,3,2681172.306,235210.9367
888033892,2024/6/1,342250,1,1,818,2009,19123,1,4,3,2699256.647,241323.1032
888042064,2024/6/12,319000,1,1,794,1870,19107,1,4,4,2695389.276,233754.6837
888302238,2024/6/6,449000,1,1,952,2012,19146,1,3,3,2687258.653,232976.4372
888001210,2024/6/19,242000,1,1,816,2022,19130,1,1,1,2692989.229,242580.9131
888520579,2024/6/18,120000,1,1,940,1970,19131,1,4,4,2682211.042,254532.9187
888211492,2024/6/24,250000,1,1,899,1820,19128,1,3,3,2678785.184,262237.8774
888071870,2024/6/14,160000,1,1,559,1900,19107,1,4,4,2695152.407,237682.4064
888112324,2024/6/24,199000,1,1,658,1900,19103,1,3,4,2690099.004,236117.8807
888140022,2024/5/31,235000,1,1,1034,1900,19123,1,4,3,2694084.224,239624.9764
888092918,2024/6/11,284500,1,1,509,1900,19103,1,3,3,2691632.172,234933.6852
888150676,2024/5/8,325000,1,1,1166,1960,19130,1,4,4,2689365.903,241250.3521
888154568,2024/4/29,220000,1,1,643,2016,19130,1,1,1,2694000.861,242621.8769
888180458,2024/5/10,225650,1,1,492,2007,19125,1,4,3,2701659.16,242746.1194
888080372,2024/4/18,170000,1,1,624,1977,19102,1,4,4,2692933.467,234488.572
888081226,2024/4/15,565000,1,1,740,1970,19103,1,4,4,2690736.516,234838.8131
888022672,2024/5/7,260500,1,1,697,1900,19147,1,4,3,2694110.196,232183.8066
888210089,2024/4/24,135000,1,1,769,1960,19128,1,4,4,2679169.694,266762.1327
888650768,2024/5/7,185000,1,1,806,1972,19114,1,4,4,2741507.823,272544.986
888036860,2024/4/9,262000,1,1,1032,1970,19106,1,4,3,2696720.178,237470.1647
888630304,2024/5/9,275000,1,1,966,2008,19111,1,3,3,2718272.717,284439.7427
888110992,2024/4/29,380000,1,1,1024,2007,19130,1,4,3,2691486.329,239495.7476
888091084,2024/5/6,240000,1,1,674,1970,19130,1,3,4,2691010.677,239862.1803
888630368,2024/4/30,269200,1,1,966,2008,19111,1,3,3,2718272.717,284439.7427
888056306,2024/4/26,250000,1,1,715,1870,19106,1,4,4,2698665.064,236998.8255
888500014,2024/5/1,310000,1,1,733,2010,19106,1,3,3,2698361.803,236522.1666
182162610,2024/4/22,355000,1,1,690,1920,19122,1,3,3,2699810.329,243135.6465
888304524,2024/4/25,501924,1,1,844,2015,19146,1,3,3,2688521.268,233370.9761
888092796,2024/5/5,320000,1,1,643,1900,19103,1,3,3,2691632.172,234933.6852
888112402,2024/5/1,209000,1,1,618,1900,19103,1,3,4,2690099.004,236117.8807
888080650,2024/4/18,270000,1,1,724,1977,19102,1,4,4,2692933.467,234488.572
888115322,2024/5/15,87500,1,1,318,1900,19107,1,3,4,2693537.909,234458.5779
888035596,2024/5/20,535000,1,1,1412,1900,19106,1,4,3,2696019.296,233167.8508
