"Model","CV_RMSE","R_squared"
"Structural Only",0.693365217026797,0.330705660691996
"+ Census",0.596718247781533,0.504333953681039
"+ Spatial",0.590052551218376,0.515293588072972
"+ Interactions/FE",0.560866485488706,0.561971915622348
